plant_id,period,clinker_production_tonnes,cement_production_tonnes,operating_days,source_system
Plant A,FY2024-25 Q3,292000,430000,89,SAP_PP
Plant A,FY2024-25 Q4,295000,435000,90,SAP_PP
Plant A,FY2025-26 Q1,298000,440000,91,SAP_PP
Plant A,FY2025-26 Q2,300000,445000,90,SAP_PP
Plant A,FY2025-26 Q3,303000,448000,92,SAP_PP
Plant A,FY2025-26 Q4,305000,452000,90,SAP_PP
Plant B,FY2024-25 Q3,206000,222000,88,SAP_PP
Plant B,FY2024-25 Q4,204000,220000,87,SAP_PP
Plant B,FY2025-26 Q1,202000,218000,86,SAP_PP
Plant B,FY2025-26 Q2,185000,196000,79,SAP_PP
Plant B,FY2025-26 Q3,198000,214000,85,SAP_PP
Plant B,FY2025-26 Q4,196000,212000,84,SAP_PP
Plant C,FY2024-25 Q3,151000,180000,87,SAP_PP
Plant C,FY2024-25 Q4,153000,182000,88,SAP_PP
Plant C,FY2025-26 Q1,155000,184000,89,SAP_PP
Plant C,FY2025-26 Q2,152000,181500,88,SAP_PP
Plant C,FY2025-26 Q2,149500,179800,88,ESG_Portal
Plant C,FY2025-26 Q4,158000,188000,90,SAP_PP
