plant_id,period,water_withdrawal_m3,water_consumption_m3,recycled_water_m3,water_intensity_m3_per_t_cement,source_system
Plant A,FY2024-25 Q3,142000,79520.0,46860.0,0.1849,Water_Meters
Plant A,FY2024-25 Q4,143000,80080.0,48620.0,0.1841,Water_Meters
Plant A,FY2025-26 Q1,144000,79200.0,50400.0,0.18,Water_Meters
Plant A,FY2025-26 Q2,145000,79750.0,52200.0,0.1792,Water_Meters
Plant A,FY2025-26 Q3,146000,78840.0,54020.0,0.176,Water_Meters
Plant A,FY2025-26 Q4,147000,79380.0,55860.0,0.1756,Water_Meters
Plant B,FY2024-25 Q3,118000,73160.0,10620.0,0.3295,Water_Meters
Plant B,FY2024-25 Q4,117000,73710.0,10530.0,0.335,Water_Meters
Plant B,FY2025-26 Q1,116000,73080.0,11600.0,0.3352,Water_Meters
Plant B,FY2025-26 Q2,110000,66000.0,11000.0,0.3367,Water_Meters
Plant B,FY2025-26 Q3,115000,73600.0,11500.0,0.3439,Water_Meters
Plant B,FY2025-26 Q4,114000,72960.0,12540.0,0.3442,Water_Meters
Plant C,FY2024-25 Q3,96000,55680.0,21120.0,0.3093,Water_Meters
Plant C,FY2024-25 Q4,97000,56260.0,22310.0,0.3091,Water_Meters
Plant C,FY2025-26 Q1,98000,55860.0,23520.0,0.3036,Water_Meters
Plant C,FY2025-26 Q2,99000,56430.0,23760.0,0.3109,Water_Meters
Plant C,FY2025-26 Q3,99500,56715.0,24875.0,0.3041,Water_Meters
Plant C,FY2025-26 Q4,100500,56280.0,26130.0,0.2994,Water_Meters
